,name,JASPAR,cluster
276,Onecut1,JASPAR_vertebrates_CORE_MA0679.3_n545,73
277,Pax7,JASPAR_vertebrates_CORE_MA0680.3_n837,2
278,Phox2b,JASPAR_vertebrates_CORE_MA0681.3_n560,47
279,Pitx1,JASPAR_vertebrates_CORE_MA0682.3_n367,112
280,Pou4f2,JASPAR_vertebrates_CORE_MA0683.2_n570,62
281,Runx3,JASPAR_vertebrates_CORE_MA0684.3_n600,114
282,Sp4,JASPAR_vertebrates_CORE_MA0685.2_n155,4
283,Spdef,JASPAR_vertebrates_CORE_MA0686.2_n285,83
284,Spic,JASPAR_vertebrates_CORE_MA0687.2_n625,118
285,Tbx2,JASPAR_vertebrates_CORE_MA0688.2_n635,44
286,Tbx20,JASPAR_vertebrates_CORE_MA0689.1_n47,44
287,Tbx21,JASPAR_vertebrates_CORE_MA0690.3_n205,44
288,Tfap4,JASPAR_vertebrates_CORE_MA0691.1_n48,39
289,Tfeb,JASPAR_vertebrates_CORE_MA0692.2_n656,59
290,Vdr,JASPAR_vertebrates_CORE_MA0693.4_n870,28
291,Zbtb7b,JASPAR_vertebrates_CORE_MA0694.2_n686,90
292,Zbtb7c,JASPAR_vertebrates_CORE_MA0695.2_n687,90
293,Zic1,JASPAR_vertebrates_CORE_MA0696.1_n49,1
294,Zic3,JASPAR_vertebrates_CORE_MA0697.3_n877,43
295,Zbtb18,JASPAR_vertebrates_CORE_MA0698.2_n681,29
296,Lbx2,JASPAR_vertebrates_CORE_MA0699.2_n463,86
297,Lhx2,JASPAR_vertebrates_CORE_MA0700.3_n464,86
298,Lhx9,JASPAR_vertebrates_CORE_MA0701.3_n467,125
299,Lmx1a,JASPAR_vertebrates_CORE_MA0702.3_n468,115
300,Lmx1b,JASPAR_vertebrates_CORE_MA0703.3_n469,115
301,Lhx4,JASPAR_vertebrates_CORE_MA0704.2_n808,106
302,Lhx8,JASPAR_vertebrates_CORE_MA0705.2_n809,106
303,Meox2,JASPAR_vertebrates_CORE_MA0706.2_n486,141
304,Mnx1,JASPAR_vertebrates_CORE_MA0707.3_n492,106
305,Msx2,JASPAR_vertebrates_CORE_MA0708.3_n495,86
306,Msx3,JASPAR_vertebrates_CORE_MA0709.2_n815,86
307,Noto,JASPAR_vertebrates_CORE_MA0710.2_n527,125
308,Otx1,JASPAR_vertebrates_CORE_MA0711.2_n549,112
309,Otx2,JASPAR_vertebrates_CORE_MA0712.3_n550,96
310,Phox2a,JASPAR_vertebrates_CORE_MA0713.1_n50,47
311,Pitx3,JASPAR_vertebrates_CORE_MA0714.2_n561,112
312,Prop1,JASPAR_vertebrates_CORE_MA0715.1_n51,47
313,Prrx1,JASPAR_vertebrates_CORE_MA0716.2_n581,86
314,Rax2,JASPAR_vertebrates_CORE_MA0717.2_n587,86
315,Rax,JASPAR_vertebrates_CORE_MA0718.2_n586,86
316,Rhoxf1,JASPAR_vertebrates_CORE_MA0719.2_n595,96
317,Shox2,JASPAR_vertebrates_CORE_MA0720.2_n851,86
318,Uncx,JASPAR_vertebrates_CORE_MA0721.2_n667,86
319,Vax1,JASPAR_vertebrates_CORE_MA0722.2_n670,125
320,Vax2,JASPAR_vertebrates_CORE_MA0723.3_n671,106
321,Ventx,JASPAR_vertebrates_CORE_MA0724.1_n52,2
322,Vsx1,JASPAR_vertebrates_CORE_MA0725.2_n673,125
323,Vsx2,JASPAR_vertebrates_CORE_MA0726.2_n674,125
324,Nr3c2,JASPAR_vertebrates_CORE_MA0727.2_n539,109
325,Nr2f6,JASPAR_vertebrates_CORE_MA0728.1_n53,3
326,Rara,JASPAR_vertebrates_CORE_MA0729.1_n54,3
327,Rara,JASPAR_vertebrates_CORE_MA0730.1_n55,6
328,Bcl6b,JASPAR_vertebrates_CORE_MA0731.1_n56,11
329,Egr3,JASPAR_vertebrates_CORE_MA0732.2_n271,56
330,Egr4,JASPAR_vertebrates_CORE_MA0733.2_n272,56
331,Gli2,JASPAR_vertebrates_CORE_MA0734.4_n792,90
332,Glis1,JASPAR_vertebrates_CORE_MA0735.2_n390,1
333,Glis2,JASPAR_vertebrates_CORE_MA0736.1_n58,1
334,Glis3,JASPAR_vertebrates_CORE_MA0737.1_n59,1
335,Hic2,JASPAR_vertebrates_CORE_MA0738.2_n403,53
336,Hic1,JASPAR_vertebrates_CORE_MA0739.2_n795,53
337,Klf14,JASPAR_vertebrates_CORE_MA0740.2_n156,4
338,Klf16,JASPAR_vertebrates_CORE_MA0741.1_n60,77
339,Klf12,JASPAR_vertebrates_CORE_MA0742.2_n157,4
340,Scrt1,JASPAR_vertebrates_CORE_MA0743.3_n602,61
341,Scrt2,JASPAR_vertebrates_CORE_MA0744.3_n603,61
342,Snai2,JASPAR_vertebrates_CORE_MA0745.3_n609,34
343,Sp3,JASPAR_vertebrates_CORE_MA0746.3_n620,77
344,Sp8,JASPAR_vertebrates_CORE_MA0747.2_n622,77
345,Yy2,JASPAR_vertebrates_CORE_MA0748.3_n676,68
346,Zbed1,JASPAR_vertebrates_CORE_MA0749.2_n677,72
347,Zbtb7a,JASPAR_vertebrates_CORE_MA0750.3_n685,102
348,Zic4,JASPAR_vertebrates_CORE_MA0751.2_n691,1
349,Znf410,JASPAR_vertebrates_CORE_MA0752.2_n716,11
350,Znf740,JASPAR_vertebrates_CORE_MA0753.3_n735,71
351,Cux1,JASPAR_vertebrates_CORE_MA0754.3_n250,73
352,Cux2,JASPAR_vertebrates_CORE_MA0755.2_n252,73
353,Onecut2,JASPAR_vertebrates_CORE_MA0756.3_n264,73
354,Onecut3,JASPAR_vertebrates_CORE_MA0757.2_n546,73
355,E2f7,JASPAR_vertebrates_CORE_MA0758.1_n62,128
356,Elk3,JASPAR_vertebrates_CORE_MA0759.3_n289,83
357,Erf,JASPAR_vertebrates_CORE_MA0760.2_n295,83
358,Etv1,JASPAR_vertebrates_CORE_MA0761.3_n311,31
359,Etv2,JASPAR_vertebrates_CORE_MA0762.2_n312,83
360,Etv3,JASPAR_vertebrates_CORE_MA0763.2_n317,83
361,Etv4,JASPAR_vertebrates_CORE_MA0764.4_n318,83
362,Etv5,JASPAR_vertebrates_CORE_MA0765.4_n319,83
363,Gata5,JASPAR_vertebrates_CORE_MA0766.3_n381,99
364,Gcm2,JASPAR_vertebrates_CORE_MA0767.2_n387,122
365,Lef1,JASPAR_vertebrates_CORE_MA0768.3_n805,91
366,Tcf7,JASPAR_vertebrates_CORE_MA0769.3_n639,91
367,Hsf2,JASPAR_vertebrates_CORE_MA0770.1_n63,75
368,Hsf4,JASPAR_vertebrates_CORE_MA0771.1_n64,75
369,Irf7,JASPAR_vertebrates_CORE_MA0772.2_n444,84
370,Mef2d,JASPAR_vertebrates_CORE_MA0773.1_n65,139
371,Meis2,JASPAR_vertebrates_CORE_MA0774.1_n66,9
372,Meis3,JASPAR_vertebrates_CORE_MA0775.2_n484,9
373,Mybl1,JASPAR_vertebrates_CORE_MA0776.1_n67,60
374,Mybl2,JASPAR_vertebrates_CORE_MA0777.1_n68,60
375,Nfkb2,JASPAR_vertebrates_CORE_MA0778.2_n514,132
376,Pax1,JASPAR_vertebrates_CORE_MA0779.2_n282,93
377,Pax3,JASPAR_vertebrates_CORE_MA0780.1_n70,2
378,Pax9,JASPAR_vertebrates_CORE_MA0781.2_n284,93
379,Pknox1,JASPAR_vertebrates_CORE_MA0782.3_n562,9
380,Pknox2,JASPAR_vertebrates_CORE_MA0783.1_n71,87
381,Pou1f1,JASPAR_vertebrates_CORE_MA0784.3_n564,135
382,Pou2f1,JASPAR_vertebrates_CORE_MA0785.2_n565,78
383,Pou3f1,JASPAR_vertebrates_CORE_MA0786.2_n568,78
384,Pou3f2,JASPAR_vertebrates_CORE_MA0787.1_n72,135
385,Pou3f3,JASPAR_vertebrates_CORE_MA0788.1_n73,135
386,Pou3f4,JASPAR_vertebrates_CORE_MA0789.1_n74,78
387,Pou4f1,JASPAR_vertebrates_CORE_MA0790.2_n569,62
388,Pou4f3,JASPAR_vertebrates_CORE_MA0791.2_n571,62
